Odorscenes, dPsiBar
1,3.9869889953291916e-15
2,6.210440134596234e-05
3,0.00012035714841549234
4,0.0025609415607652955
5,0.00040211824325435413
7,0.00027746970086560304
10,0.00011227970354495037
15,0.01089301533558251
20,5.556050377817972e-06
25,0.010191238333978973
30,0.0010649606652002163
35,0.005734509585207855
40,0.0068318539380867035
45,0.0011837616752527443
50,0.014227670763670073
60,0.011800373169224554
70,0.01566616054109028
80,0.02157237159711805
90,0.0025414867270458783
100,0.0027474731701008044
120,0.005874714891481902
140,0.010331251920943009
160,0.021738057892907618
200,0.009402499858588034
250,0.014638541104689987
300,0.023970416411371265
350,0.012949392502605604
400,0.018132957387697875
